Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,I know that msft trades on nasdaq but the djia average is trading about 1400 points above its historic trendline.  I expect a correction.,Negative,-1,0.9333067536354065,Main
Yahoo,2024-10-30,"Well, this does not look like $417.",Negative,-1,0.8437157869338989,Main
Yahoo,2024-10-30,It just don’t make any sense . That we should call it garbage,Neutral,0,0.9707913398742676,Main
Yahoo,2024-10-30,"SBUX released a bad earnings but it’s up and MSFT beat expectations top and bottom but still it’s down. 

Sure , I have seen this before",Positive,1,0.9999842643737793,Main
Yahoo,2024-10-30,"It won’t open down as much as AH
Maybe down 8 or so",Neutral,0,0.9989258646965027,Main
Yahoo,2024-10-30,Come on. Let&#34;s get to $417!!,Neutral,0,0.9999096393585205,Main
Yahoo,2024-10-30,This was expected.  The mag 7 have run a lot.  Nothing goes up forever.  It could drop below 400,Negative,-1,0.9553519487380981,Main
Yahoo,2024-10-30,Nice support at 375,Positive,1,0.9998518228530884,Main
Yahoo,2024-10-30,"Don&#39;t bet the farm this will end or even open in the red tomorrow. After hours for MSFT, up or down, are always wonky on earnings day.",Neutral,0,0.9999854564666748,Main
Yahoo,2024-10-30,Why goes down,Neutral,0,0.9646071791648865,Main
Yahoo,2024-10-30,Topsy turvy world..beyond disappointing earnings after earnings,Negative,-1,0.9999998807907104,Main
Yahoo,2024-10-30,Glad I have goog !,Neutral,0,0.9990956783294678,Main
Yahoo,2024-10-30,"MSFT has a good problem, where demand is outpacing available capacity.  Due to outside suppliers being late with delivering new data center infrastructure, next quarter’s cloud growth will slightly moderate due to capacity constraints and CAPEX will continue to grow as MSFT adds more cloud capacity to meet their customer’s demands … VERY BULLISH!!!",Negative,-1,0.7254450917243958,Main
Yahoo,2024-10-30,Let it price in. Tomorrow pre market will clarify the trend.,Neutral,0,0.9999830722808838,Main
Yahoo,2024-10-30,"It&#39;s pretty simple.. down $15 AH because of this  &gt;&gt;&gt;&gt;&gt;&gt;Microsoft forecast second-quarter Azure revenue growth of 31% to 32%, lagging the 32.25% growth expected on average by analysts, according to Visible Alpha. Azure revenue rose 33% in its fiscal first quarter ended Sept. 30, slightly ahead of estimates.After hours manipulation.",Positive,1,1.0,Main
Yahoo,2024-10-30,"hate to share bad news but the mag7 ETF outflow and rotate out is real, look it up.  The support has down tens of billions.",Negative,-1,0.876651406288147,Main
Yahoo,2024-10-30,Guessing the CC didn’t go well at all,Neutral,0,0.9254921674728394,Main
Yahoo,2024-10-30,This has to be algos that have gone nuts!,Neutral,0,0.9997897744178772,Main
Yahoo,2024-10-30,300 incoming,Neutral,0,0.9993570446968079,Main
Yahoo,2024-10-30,"Life is always trying to make you fall and we are always not trying to fall until we die in the end. This is the perception after living over 55 years. Other people always wants your money, insurance, mortgage, auto, utilities, food, vacation, clothes, shoes, kids, school, hospitals, friends, families and etc. It never ends until we goto our graves but even death needs to be paid for funeral services and burial plot. This is like the Wall Street, as soon as you make money, the Fed wants the piece of the pie.....",Neutral,0,0.9993708729743958,Main
Yahoo,2024-10-30,"if google&#39;s more stellar ER failed to impress, Microsoft and meta&#39;s are more like meh",Negative,-1,0.9999699592590332,Main
Yahoo,2024-10-30,The market is nuts!!,Neutral,0,0.999764621257782,Main
