Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,"Lowest volume day ever, barely got over 100K share",Positive,1,0.4342307150363922,Main
Yahoo,2024-10-30,Stepn is a trans man,Neutral,0,0.9999505281448364,Main
Yahoo,2024-10-30,"if ppl wanted to get taken advantage again by conman-Don...they&#39;d just buy into his scam-project World Liberty Financial 🤮

time for a president that won&#39;t milk us or the financial markets

bullish on Kamala and PSFE",Positive,1,0.6472172737121582,Main
Yahoo,2024-10-30,The entire executive management has been replaced since the stock listing from a SPAC. What a disaster this stock has been.,Neutral,0,0.9862586259841919,Main
Yahoo,2024-10-30,Guess Joe didn’t get the memo on stopping hateful rhetoric. Calling half of all Americans garbage won’t go over well,Neutral,0,0.997525155544281,Main
Yahoo,2024-10-29,I will take Trumps silly comments and a safe world over Harris open borders and coddling Iran that have killed people ANY day of the week. Most Americans would too,Neutral,0,0.5824304819107056,Main
Yahoo,2024-10-29,"just cuz Donny fills up an arena with neonazis doesn&#39;t mean he&#39;s gonna win

Harris will bring stability to the world...and PSFE 

price go up for all 🕊️",Neutral,0,0.9989157915115356,Main
Yahoo,2024-10-28,What are the banks doing that that they spent half the debt on? They need to make money or be sold,Neutral,0,0.9998248219490051,Main
Yahoo,2024-10-28,"buy the premarket price ,guys trying lower it before  earnings to make more money.",Neutral,0,0.7129384279251099,Main
Yahoo,2024-10-28,"Donny is about to go straight to jail after Nov 5th

And PSFE straight to $40 on Nov 13th 🤝

Life is good",Positive,1,0.9996438026428223,Main
Yahoo,2024-10-26,so many liberal tears will flow come November 5th. Will be a wonderful day,Positive,1,0.5317359566688538,Main
Yahoo,2024-10-26,What a goof… hard to believe some would actually say Kamala Harris as a VP crushed it🤣 just wow,Neutral,0,0.9538962244987488,Main
Yahoo,2024-10-25,$200.00 by year end 2025,Neutral,0,0.9999978542327881,Main
Yahoo,2024-10-25,Once Kamala secures victory over conman Don it&#39;s off to the races for PSFE 🚀,Neutral,0,0.9999456405639648,Main
Yahoo,2024-10-25,"hello experts, 

I have 10,000 warrants of PSFE W.

How should I convert them to common shares? It says $11 to convert to common shares.

Is it worth converting them right now?

Any advise is welcome",Neutral,0,0.9998620748519897,Main
Yahoo,2024-10-24,the pump shall be glorious,Neutral,0,0.9999918937683105,Main
Yahoo,2024-10-23,If Kamala wins(only happens if Dems cheat) small caps will dump 30% that week,Neutral,0,0.9364968538284302,Main
Yahoo,2024-10-22,scam,Neutral,0,0.995499312877655,Main
Yahoo,2024-10-22,Prepare yourself for the pump,Neutral,0,0.9999186992645264,Main
Yahoo,2024-10-22,How could anyone be bullish? Wake up lol,Neutral,0,0.756847083568573,Main
Yahoo,2024-10-21,HORRIBLE company. Scam stuck under 24 for 4 years. WOW,Neutral,0,0.9988934397697449,Main
Yahoo,2024-10-21,Prepare yourself for the pump,Neutral,0,0.9999186992645264,Main
Yahoo,2024-10-21,Get ready for the dump,Neutral,0,0.9997934699058533,Main
Yahoo,2024-10-20,Horrible scam,Neutral,0,0.9902822971343994,Main
Yahoo,2024-10-18,Prolly wanna know what happened to guy with 2000 in his handle name.,Neutral,0,0.999028205871582,Main
Yahoo,2024-10-18,This stock is a freaking joke,Neutral,0,0.9998959302902222,Main
Yahoo,2024-10-18,Weak af still under 24 after 4 years,Negative,-1,0.9999980926513672,Main
Yahoo,2024-10-18,ECB cut interest rates yesterday. That should reduce interest expense for the portion of Paysafe variable debt held in euros.,Positive,1,0.617853581905365,Main
Yahoo,2024-10-18,WEAK AF,Negative,-1,0.9999057054519653,Main
Yahoo,2024-10-18,"Nice 13F filing Thursday, Morgan Stanley increased their shares by 40% to 273.8K shares.",Neutral,0,0.9950202703475952,Main
Yahoo,2024-10-17,Weak af.. same range for 3 years 😂,Negative,-1,0.9998098015785217,Main
Yahoo,2024-10-17,Ricky? World of? You ladies OK? What happened to $15? What happened to 8 Bucks? 🤡😂,Neutral,0,0.9529156684875488,Main
Yahoo,2024-10-16,Yes it&#39;s been quite a while since this stock has had a 5% day.,Neutral,0,0.9665801525115967,Main
Yahoo,2024-10-16,bears are awfully quiet,Positive,1,0.48094576597213745,Main
Yahoo,2024-10-16,"looking at the 13fs 
looks like we&#39;re getting more institutional support",Neutral,0,0.9986636638641357,Main
Yahoo,2024-10-16,shorties on the run,Neutral,0,0.8642401695251465,Main
Yahoo,2024-10-16,what is going on? I like it.,Neutral,0,0.9938557744026184,Main
Yahoo,2024-10-16,with reverse split my $98 cost will never be seen again. this trash is only good for loss harvesting my Palantir earnings,Negative,-1,0.9960662722587585,Main
Yahoo,2024-10-15,Prolly remember when Foley said he scoured over 200 companies and landed on this gem.,Neutral,0,0.9999662637710571,Main
Yahoo,2024-10-15,What did I tell ya… Weak.. no buyers. Still $1.80. Great to see sofi pass $10 without a reverse split… we got hosed with Psfe. What a scam,Neutral,0,0.9983335137367249,Main
