Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,"The pattern of manipulation and control.  We see it every day.  PDA algos moving the stock according to what it thinks normal behavior from investors should be to their shaping.  The problem for them is we don&#39;t respond as they thought we would, throughout.  So many wonderful things are cooking with much more on the way and there is no question the true value of our enterprise has skyrocketed while they have kept it suppressed and in check.  Are we setting up for ending that all finally?  What are the crooks going to do next?",Neutral,0,0.9783805012702942,Main
Yahoo,2024-10-30,level 2 looking good....still early in the day,Neutral,0,0.999805748462677,Main
Yahoo,2024-10-29,"While we&#39;ve all been yapping about this and that and talking about all the things we see, I wonder how many things have been encoded from how many companies to turn this on? Could it be a lot? How long have we been open sourcing the code and how many giant product and pharma companies do we have?  Do you know how fast and easy it is to watermark? What are we about to see with Digimarc Validate? How many more things are we going to see?",Neutral,0,0.9968050718307495,Main
Yahoo,2024-10-29,Why would they pr the Validate App now rather than two weeks from now? Because they are releasing bigger and more news on earnings day and days prior. Looks interesting!,Positive,1,0.5895410776138306,Main
Yahoo,2024-10-29,see twits. new app yeah!,Neutral,0,0.9995848536491394,Main
Yahoo,2024-10-28,"I don&#39;t know what it means or why it matters, but my Schwab account shows DMRC with 50% margin requirements and PYPL with 30% margin requirements.  To be fair, I historically have not been sophisticated enough to buy on margin, short a stock or play around with options.",Neutral,0,0.9997212290763855,Main
Yahoo,2024-10-28,"Speaking of Schwab, does anybody know anything about Schwab&#39;s Strategic Small Cap ETF? Looks discretionary, that is, not an index ETF.Their holdings of DMRC are less than miniscule for Schwab. BUT, if the investment was made by stock pickers ...... Actually, IDK the industry very well anymore. However, (assuming @slee has been provided with accurate info by his broker) Schwab&#39;s seemingly random and extreme moves in margin requirements could use a deeper dive into the facts.",Neutral,0,0.9993128776550293,Main
Yahoo,2024-10-28,Schwab Institutional- Margin maintenance at 100% again...may change back to 50% by days end....and I don&#39;t suggest anyone buys on margin with this one!  Longs know bear raids happen out of now where with one and are used to it.,Neutral,0,0.9994935989379883,Main
Yahoo,2024-10-28,see twits on webinar for 2 yr commercial test of Holy grail ....at least in one country. Note who is on the webinar. Hopefully we get paid something for this....,Neutral,0,0.9999350309371948,Main
Yahoo,2024-10-26,"To put myself on repeat ... I think DMRC is facing Little Shorty and Big Shorty. Little Shorty is kiting the fails-to-deliver. Big Shortie borrowed real stock and, as @slee has mentioned, they are huge and this position is infinitesimal for them. BUT, Little Shorty, if he really is kiting the fails-to-deliver, on a stock with an official float of 25% (8mm shares). Meaning, the real short including Little Shorty&#39;s naked short fraud, could be 8mm on a stock where only abt 1mm shares will be available at even $100 p/s. Little Shorty will have to come up with maybe $500mm - $2bn dollars to cover (total guess). Probably can&#39;t do it. Somebody&#39;s going to jail.",Neutral,0,0.999195396900177,Main
Yahoo,2024-10-26,Is someone about to get spanked?,Neutral,0,0.9993799924850464,Main
Yahoo,2024-10-25,Not today.,Neutral,0,0.996208906173706,Main
Yahoo,2024-10-25,"note the buying stepped up as the IWM which DMRC typically tracks started pulling back intraday. Pairs trade/quant trade algo had an easy time pushing this stock with ease but appears to not be able to &#34;paint the tape&#34; like they usually have been doing.  Buyer is still there. 30 min chart.  Shorts are doing everything to cap, steer, recycle shares to prevent this from rising but it appears we have a buyer. GLTA....just my observation and it could very well mean nothing but someone has been supporting, nibbling at the stock for the past two weeks IMHO",Neutral,0,0.7366945743560791,Main
Yahoo,2024-10-25,"PCT looks like an obvious squeeze.  Look at where it started around $4.5 a month ago.  No news, no revenue, yet, and today including debt the market value got over $3 bil.  High upfront buildout costs and unknown margins once things get cranking.  All they are doing is deploying P&amp;G&#39;s novel process for recycling polypropylene.  It seems insane vs us and our position in recycling, and then we have all those other huge things with more on the way.  Huge TAM and high margins and moats all around.  IMO. how can we not squeeze and the only question is when?  $3 bil to start would be nice, but we have a long way to go beyond that.  PCT is a good example right now, but a far inferior and very limited business.  What is our squeeze potential?  What&#39;s the true value today?  Next year?  In five years?  Hopefully it&#39;s all a sign that the scourge of fraud and corruption in our currency is about to end.  It should have ended long ago, but my how they held on.  All we&#39;ve done is go up in real value.  It sure seems like a tightly packed bomb right now, does it not?  Tighter and more explosive than ever.  What are things going to be like when that breaks?",Positive,1,0.7352567315101624,Main
Yahoo,2024-10-25,"Form 13g filed yesterday by Blackrock who now owns 5.6% of the shares. I’m assuming this isn’t anything other than a passive investor reporting because they are over 5% now. But I’m not versed in SEC filings at all, so can anyone elaborate?",Neutral,0,0.9999662637710571,Main
Yahoo,2024-10-24,"Quarterly report on Nov 14.  I believe the SEC requires a report within 45 days of the end of the quarter and Nov 14 is the 45th day, so I think they&#39;re pushing it as far as it will go.  Q4 will be half over by the time they report Q3, so let&#39;s hope they have some positive things to say.",Positive,1,0.9999998807907104,Main
Yahoo,2024-10-24,"Interesting today, I&#39;ve certainly got nothing against Impinj (PI), I like them, though I certainly would rather own what we have for the whole ball of wax, we have a good relationship with them and work together on things and the things happening with stuff like EPCIS seem to put them at the front of some things with what can&#39;t be seen, like palates, big boxes and shipping containers. However, why are they reporting lower sequential revenue, guiding lower with lower margins and reporting a slowdown in adoption with longer cycles? Could there be a shift in plans where some players are realizing the bulk of digitization for the actual products is going another way from what they thought? Our way? That&#39;s certainly where it&#39;s going for the actual products we buy. They&#39;ve given the usual seasonality excuse, but that makes no sense to me in this new wave for digitization given all the new wants and needs that are expanding. Just a IMHO observation in this whole big ballgame we&#39;re part of. Our emergence is at hand bigly and ever expanding with the giants and then everyone else. You do need RFID where you don&#39;t have LOS. You need us for evrythng else.",Negative,-1,0.9971455931663513,Main
Yahoo,2024-10-24,"Listed short UP 22k more.  It doesn&#39;t seem like much, but that short trend has obviously reversed for purposes of restraint and most definitely defies all logic and facts and tells us the enemy&#39;s intentions.  What&#39;s the real number including everything?  Oh, and that pattern of stock pricing around these short reports remains.",Neutral,0,0.9968794584274292,Main
Yahoo,2024-10-24,"V be gettin a little frustrated. In the old days once DMRC went down it stayed down. And usually followed down the next day. And even on a normal trading day , closed near the days low. Now you get dip buyers on almost all sell off&#39;s. Thin volume or not the price action is bullish. Short a thin stock that is clearly being bought? Playing with fire V.",Negative,-1,0.9676698446273804,Main
Yahoo,2024-10-24,"Look again at PCT, then look at their short number.  Starting a squeeze?  They are a plastic recycler just getting started processing materials.  What we have is far better and more important.  Far more lucrative too with far lower cost and far higher margins. They&#39;ve been a victim too of this short cabal for quite a while.  Are they a beacon of what may be coming our way?  And don&#39;t forget, recycling is far from the biggest thing we have and what we have is on path to be required!  We all know that.  Who is on the other side of us and this?",Positive,1,0.9797817468643188,Main
Yahoo,2024-10-24,NASA&#39;s Webb telescope detects the first potential brown dwarfs outside our galaxy&#34;We are obviously involved in some way.&#34;,Neutral,0,0.9999078512191772,Main
Yahoo,2024-10-24,"Great post on stocktwits re: WMT data and Luminate. Seems a lot like CRM, which has a $236bn market cap. But, I&#39;m not greedy. 300x from here would be satisfactory.",Neutral,0,0.9976223111152649,Main
Yahoo,2024-10-24,"Wow! 3,600 shares traded! You guys are delusional",Neutral,0,0.9991495609283447,Main
Yahoo,2024-10-24,Notice the bid/ask size change in the spread lately?  It used to be mostly 1X1 constantly.  The last week or so it&#39;s been 14X14 and now it&#39;s 20X20.  I wonder what&#39;s changed to cause that?  Hopefully it&#39;s something of a cleaner and more positive nature re the gamesmanship here.  Any ideas from anyone who would know?  Are we getting a more honest market here for what&#39;s coming?,Neutral,0,0.9645532965660095,Main
