Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,Purchasing PUTS this morning for 12/20 $25 — THANK YOU XYZ!,Neutral,0,0.9995823502540588,Main
Yahoo,2024-10-30,"Crwd going good until next update, then? Shut all customers down again.",Neutral,0,0.6052257418632507,Main
Yahoo,2024-10-30,Crwd $310;while this scam is still drowning back to below 20s after earnings. They continue to enrich themselves nm the retail investor.,Positive,1,0.999297022819519,Main
Yahoo,2024-10-29,Ah the toilet stock just keeps on being a loser.,Negative,-1,0.966493546962738,Main
Yahoo,2024-10-29,Crowdstrike yeah all the way!,Neutral,0,0.9963904023170471,Main
Yahoo,2024-10-29,what is the reason for the ah run up..+.88,Neutral,0,0.9960427284240723,Main
Yahoo,2024-10-29,Voted today to keep tampons out of mens bathroom and men out of women&#39;s locker room.,Neutral,0,0.9999408721923828,Main
Yahoo,2024-10-28,Crwd blames it&#39;s customers for their mistakes. New customers will think about that. Good news for sentinelone.,Positive,1,0.7627972364425659,Main
Yahoo,2024-10-25,Crwd share holders do not want to look behind them. Crwd offers a good source of new customers.,Positive,1,0.9993476271629333,Main
Yahoo,2024-10-24,$45 to $50Guarantee!,Neutral,0,0.9996867179870605,Main
Yahoo,2024-10-24,30 coming up. 52 weeks high,Neutral,0,0.9999649524688721,Main
Yahoo,2024-10-24,I have a serious feeling this going to take a big JUMP!!! Go long!,Positive,1,0.5306116342544556,Main
Yahoo,2024-10-24,Numerous upgrades NICE,Positive,1,0.99944669008255,Main
Yahoo,2024-10-23,Ah it a good day and down we go back to where it belongs. How surprising. Down down baby!,Neutral,0,0.9875285625457764,Main
Yahoo,2024-10-23,Thought Piper upgraded?,Neutral,0,0.9658704400062561,Main
Yahoo,2024-10-22,Shakeout. Buying the dip here. 💲💲💲🚀🚀🚀,Neutral,0,0.5802664756774902,Main
Yahoo,2024-10-21,Where’s Ray ?,Neutral,0,0.999382734298706,Main
Yahoo,2024-10-21,28 coming!,Neutral,0,0.9999078512191772,Main
Yahoo,2024-10-21,Crwd will be a good source of new customers 😀,Positive,1,0.9999938011169434,Main
Yahoo,2024-10-20,Crwd share holders does not want to look what&#39;s gaining on them. Sentinelone coming on strong.,Positive,1,0.9987040758132935,Main
Yahoo,2024-10-18,$35 coming back?,Neutral,0,0.9998239874839783,Main
Yahoo,2024-10-18,"The story is consistent despite the daily fluctuations misleading for investors though critical for traders.  A small cap business with thoughtful management, compelling technology and a shortcut to success resulting from an unforced error by a key competitor.  The &#39;frosting&#39; on the cake is the potential for a takeover (perhaps by that same key competitor).  Patience will be rewarded, ignore the noise.",Positive,1,0.9996787309646606,Main
Yahoo,2024-10-17,Oh what a surprise is it down already! Opps,Negative,-1,0.9987228512763977,Main
Yahoo,2024-10-17,Another great sign for &#34;S&#34; by expanding their partnership with AWS. This company has so much upside potential.,Positive,1,1.0,Main
Yahoo,2024-10-17,Who thinks this is $28 plus by Friday next week?,Neutral,0,0.9999691247940063,Main
Yahoo,2024-10-17,Is this stock going to take off to $30-35??? I’m hesitant to put $5K into it!,Neutral,0,0.9995772242546082,Main
Yahoo,2024-10-18,"Not worried about s in the long run, very worried about the election. Please send a little money to help stop the socialists.",Negative,-1,0.9060719609260559,Main
