Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,KLAC gets spanked....batten down the hedges ....Autozone and other retailer depending on China exporters are stating the obvious ...Exporters do not pay tariffs...they will get passed on to consumer...I can see veture capital flocking in to compete with China on low margin junk....but MAGA is eating it up...they just can not wait to hold be bag,Neutral,0,0.9976094961166382,Main
Yahoo,2024-10-30,Streaming Bloomberg:  msft share drops on disappointing azure growth.,Negative,-1,0.9999996423721313,Main
Yahoo,2024-10-30,"If AMD and MSFT do not recover tomorrow, this will likely fill the gap at 98-95",Negative,-1,0.9809139966964722,Main
Yahoo,2024-10-30,One positive takeaway from KLAC...N3 demand  stronger than expected than 6 months  ago while N2 humming along.....,Positive,1,1.0,Main
Yahoo,2024-10-30,what the heck is going on . literally all the cloud providers have reported solid earning and it&#39;s mostly micron everywhere. how come this is not moving up despite it&#39;s huge beat and guidance all the way to 2025.,Positive,1,1.0,Main
Yahoo,2024-10-30,Jobs report will be bad Friday too,Negative,-1,0.9997203946113586,Main
Yahoo,2024-10-30,All major firms are delivering total blowouts. Only that matters. Smci and Amd do not matter.,Neutral,0,0.9784812927246094,Main
Yahoo,2024-10-30,Low volume down today!,Negative,-1,0.9997370839118958,Main
Yahoo,2024-10-30,I tried to warn you!,Negative,-1,0.9173665642738342,Main
Yahoo,2024-10-30,It’s going to be down more tomorrow,Neutral,0,0.9018489122390747,Main
Yahoo,2024-10-30,Markets are fickle no conviction to this downtrend,Negative,-1,0.9933109283447266,Main
Yahoo,2024-10-30,AI firms delivering blowout results. So will Micron. And much more so as memory is now the main play. Those of you selling will be buying later. At much higher prices.,Positive,1,0.9988594055175781,Main
Yahoo,2024-10-30,Always losses more than its peers this doanky,Negative,-1,0.916183590888977,Main
Yahoo,2024-10-30,"GOOG, FB, MSFT all strong quarters",Positive,1,1.0,Main
Yahoo,2024-10-30,The shorts are on this like a mad dog on a ham bone,Neutral,0,0.9999810457229614,Main
Yahoo,2024-10-30,can someone convince me why wont this be drilling tomorrow like today or even worse than today ?,Negative,-1,0.9914478063583374,Main
Yahoo,2024-10-30,This is a major retracement  Five star sell,Negative,-1,0.9999949932098389,Main
Yahoo,2024-10-30,Another day with MU . . .,Neutral,0,0.9999396800994873,Main
Yahoo,2024-10-30,MU does nothing but underperform. Has been that way since the $157 blowoff.,Negative,-1,0.9582690000534058,Main
Yahoo,2024-10-30,"Short. 11/1  100 puts, GLTA",Neutral,0,0.9999829530715942,Main
Yahoo,2024-10-30,What a sad state of affairs.  If this stock does recover to the med 120&#39;s I will sell all but a small position.,Neutral,0,0.9908844828605652,Main
Yahoo,2024-10-30,Big disconnect between TSM and AMD SP...one poster suggesting TSM capacity restriction impacting AMD. ???....we need clarity next week....hope the women will save this country...&#34;women are smarter....&#34;But I say that the women today are smarter than the men in every way&#34;  Robert Hunter ?,Neutral,0,0.8943526148796082,Main
Yahoo,2024-10-30,No volume,Neutral,0,0.9999194145202637,Main
Yahoo,2024-10-30,Hard to project the future. Around 25 years ago I bought 100 shares of Amazon at $9. when it was a book seller.Sold it at $19 and like a few here broke my arm patting myself on the back.,Neutral,0,0.9999102354049683,Main
Yahoo,2024-10-30,Added,Neutral,0,0.9009842872619629,Main
Yahoo,2024-10-30,"wow, good thing I don&#39;t day trade.  I thought -$2.50 was the bottom.......",Neutral,0,0.96003258228302,Main
Yahoo,2024-10-30,"hoping for a good recovery tomorrow, today is a lost case",Positive,1,0.8893381953239441,Main
Yahoo,2024-10-30,Always painful holding this stock,Positive,1,0.5270475149154663,Main
Yahoo,2024-10-30,"How low can ya go . . . ?50-day @ sub-100, GLTA . .",Neutral,0,0.9999052286148071,Main
