Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,That sure was a nice move breaking through 73. I&#39;m seeing a slight consolidation and then rally into earnings. Zoom is finally moving higher from here. $100 at least by years end if earnings show any growth.,Positive,1,0.9999289512634277,Main
Yahoo,2024-10-29,Next stop $85,Neutral,0,0.9998897314071655,Main
Yahoo,2024-10-29,New 52 week high!,Neutral,0,0.9984585046768188,Main
Yahoo,2024-10-29,"Gap up in down tape!! Unbelievable action as fundamentals continue to improve. There must be news on an acquisition, or is growth returning .",Neutral,0,0.49099165201187134,Main
Yahoo,2024-10-28,"It&#39;s been a long time coming. Finally impressive, technically speaking and fundamentals are much better.",Positive,1,1.0,Main
Yahoo,2024-10-26,Clearly get rejected at $73 level. Horrible volume. I dont see how bulls think this can break above the 3 year old resistance.,Neutral,0,0.9972949624061584,Main
Yahoo,2024-10-25,Feels like a new 52 week high is coming. RSI has been strong and technicals are bullish. We all know that Zoom is a huge value play but it may soon become an AI darling as they are well positioned to leverage their platform for building out a great new channel of revenue growth.,Positive,1,1.0,Main
Yahoo,2024-10-24,Josh Brown just called the breakout.,Neutral,0,0.9999682903289795,Main
Yahoo,2024-10-24,CEO sold another 72k shares. Pure garbage company.,Neutral,0,0.9994966983795166,Main
Yahoo,2024-10-23,Break out confirmed.,Neutral,0,0.9999730587005615,Main
Yahoo,2024-10-22,52 weeks high is in jeopardy,Neutral,0,0.999872088432312,Main
Yahoo,2024-10-21,Great close. Broke 72,Neutral,0,0.5483458042144775,Main
Yahoo,2024-10-21,Still cannot break $72. Meaning selloff coming this week. MM has been doing that for 3 years.,Neutral,0,0.7782441973686218,Main
Yahoo,2024-10-21,I think Stas jumped off a bridge?,Neutral,0,0.9979890584945679,Main
Yahoo,2024-10-21,"I&#39;m long both ZM stock and ZM call options, nice to see ZM starting to rally with a down-market day. Would like to see more volume but IMO that will come. One more good ER and ZM will be $85 to $90 IMO.   SQ looks strong also, I&#39;m long SQ stock and options going into its ER.",Positive,1,1.0,Main
Yahoo,2024-10-21,Here we go people. Near-term higher high. Feels like a test of 52 week high coming this week. Accumulating. Stay hungry my friends...,Neutral,0,0.9999395608901978,Main
Yahoo,2024-10-21,Blast off!,Neutral,0,0.9899243712425232,Main
Yahoo,2024-10-21,"I really, really, really like the action right now. AI news about to hit? $80 incoming?",Positive,1,0.5750863552093506,Main
Yahoo,2024-10-18,"Our next fight: keeping remote work alive! Zoom saved us from lockdowns, awkward calls, small talk, and let us stay in pajama-bottom meetings. Now, with companies like Amazon pushing for office returns, Zoom is our best weapon to resist. Buying Zoom stock isn’t just smart—it’s a stand against cubicle life.
#FightForRemote
#PajamasOverCubicles",Positive,1,0.8190743327140808,Main
Yahoo,2024-10-18,Can’t even break $72 in 3 years and people are thinking about $80-$100 😂,Neutral,0,0.9994503855705261,Main
Yahoo,2024-10-17,"yes, just wait until &#34;they&#34; (the shepherds) ramp up the bird &amp; cattle flu. Very few, if any, are going back to the office. Many companies have realized this is the new way of doing business. Unless you want that cutie back in the office so you can bang her on your office desk again. Other than that, it&#39;s just a matter of time and the upcoming/next pandemic or epidemic will only help it.",Neutral,0,0.9801961779594421,Main
Yahoo,2024-10-17,Reacceleration in growth is going to get priced into this stock very soon.,Positive,1,0.9982933402061462,Main
Yahoo,2024-10-16,Resilient trading action in this now. Coiling like it wants to pop to 80,Neutral,0,0.9899159073829651,Main
Yahoo,2024-10-15,75 possible,Neutral,0,0.9793673157691956,Main
Yahoo,2024-10-15,"I see golden cross on the 1yr chart, could this be a shakeout by big money ?",Neutral,0,0.7546805739402771,Main
Yahoo,2024-10-15,whiskey tango fox ?,Neutral,0,0.9997612833976746,Main
Yahoo,2024-10-15,$55 soon? 🤣,Neutral,0,0.9946580529212952,Main
Yahoo,2024-10-14,Where’s the low level cursed clownnnn???? How’s she doing today?? Bwahahahahhahahahhahahahahaha oh what COMEDY!!!!,Neutral,0,0.999951958656311,Main
Yahoo,2024-10-14,There is no news and straight down to the bottom of the range. Awesome,Neutral,0,0.7253215909004211,Main
Yahoo,2024-10-14,Time to make some money The Container store did poison pill last week and went from 7.00 to 17.00 in 2 days Tempest Therapeutics just did a poison pill and is expected to be over 10.00-15.00 - Roche Partner Benzings 2 min ago,Neutral,0,0.9999210834503174,Main
Yahoo,2024-10-11,Trashy as usual. Bulls’hopes are crushed again.,Neutral,0,0.9997355341911316,Main
Yahoo,2024-10-10,Launching. It&#39;s finally happening 🙌,Neutral,0,0.958526074886322,Main
Yahoo,2024-10-10,It’s still trashy as usual. What the fuss about?,Neutral,0,0.9658212065696716,Main
Yahoo,2024-10-10,Breaking out!,Neutral,0,0.9999501705169678,Main
Yahoo,2024-10-10,ZM should buy MNDY,Positive,1,0.8964365124702454,Main
Yahoo,2024-10-09,Where is everyone? It&#39;s going higher and nobody to fight with. Good times ahead for Zoom!,Neutral,0,0.8034664988517761,Main
