Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,do we close up for the day?  getting close!,Neutral,0,0.9999430179595947,Main
Yahoo,2024-10-30,"Elliott your fellow henchmen got no life lol... they can&#39;t separate their personal lives from their stock board addiction, help them out",Neutral,0,0.9997109770774841,Main
Yahoo,2024-10-30,"I still think shorts could try to take this down but man it would be playing with a fire, more like an inferno. AI spending continues to ramp up in the billions per quarter for many companies. Offer Jack 1.5B and let’s call it a day.",Neutral,0,0.9323473572731018,Main
Yahoo,2024-10-29,"Google&#39;s big quarter has to be good for INOD moving forward, put 2 and 2 together",Positive,1,0.9999980926513672,Main
Yahoo,2024-10-30,Google parent Alphabet posts 15% jump in revenue as CEO says AI investments ‘paying off’,Positive,1,0.9994584918022156,Main
Yahoo,2024-10-29,&#34;The AI investments are the primary reason Google&#39;s capital expenditures in the past quarter soared 62% from the same time last year to $13.1 billion&#34;,Neutral,0,0.9989318251609802,Main
Yahoo,2024-10-28,if Jack has the goods... look for break out to $30-35 range in the coming weeks,Neutral,0,0.9999731779098511,Main
Yahoo,2024-10-25,Nice finish going into the weekend. Cheers to all.,Positive,1,0.9997431635856628,Main
Yahoo,2024-10-25,$30+ on the horizon,Neutral,0,0.9997814297676086,Main
Yahoo,2024-10-25,"Short interest up to 4.1M shares as of last week. Wild. What are we missing? Honestly, what could the shorts be thinking?",Neutral,0,0.8805534243583679,Main
Yahoo,2024-10-24,9 trading days left... late next week should start to get interesting... if they announce any news that will catch many traders off guard,Neutral,0,0.9997702240943909,Main
Yahoo,2024-10-22,man their new company website looks spectacular... glad to see they are reinvesting to drive new business,Positive,1,0.9994229078292847,Main
Yahoo,2024-10-22,"AI Capex spending... is all that matters, the market is in for a surprise here",Negative,-1,0.8671978116035461,Main
Yahoo,2024-10-21,Finally back into black at $19.24.  Not selling baby......,Neutral,0,0.9563398957252502,Main
Yahoo,2024-10-21,I think we trend back to 20 prior to November and wait for the huge Q3... no more hiding we are here for the big leagues.... let&#39;s goooooooooo,Neutral,0,0.9985982775688171,Main
Yahoo,2024-10-18,Classic whipsaw action today. Some of the momo&#39;s likely cashed twice. JMHO.,Neutral,0,0.9999704360961914,Main
Yahoo,2024-10-18,Missed that dip today... great sign we are back in thr green,Neutral,0,0.9626287817955017,Main
Yahoo,2024-10-18,Don’t get too high or too low. Price action shows this can go to 20 or 15 in a blink in the short term.,Negative,-1,0.7898671627044678,Main
