Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,Looks like the new CTO for U has a great track record!,Positive,1,1.0,Main
Yahoo,2024-10-30,Snap popped after hours too.  U has partnership with them so atleast there is some positives there.,Positive,1,0.9999815225601196,Main
Yahoo,2024-10-30,Good outlook from EA today.  U is ready to pop,Positive,1,0.9999877214431763,Main
Yahoo,2024-10-29,"How is this only an $8.5B company when Epic Games is valued well over $32B? $U owns the mobile development space, isn&#39;t hemorrhaging cash on a failed app store, and has a path to profitability. Blows my mind that the scare from short term bad press eliminated $8B in value.",Negative,-1,0.9998145699501038,Main
Yahoo,2024-10-28,"Good info guys - Thanks - This is a good spot here, but still significant downside if earnings disappoint- but if they good, then Benjo time -",Positive,1,0.9997547268867493,Main
Yahoo,2024-10-28,News coming imo,Neutral,0,0.9994534850120544,Main
Yahoo,2024-10-28,actually no new insider sales in 40 days.   This is good news!,Positive,1,0.9999948740005493,Main
Yahoo,2024-10-28,New filing shows BlackRock up to 21.5m shares from 16.4 in June.  No new insider sales in 3 weeks.,Neutral,0,0.9618479609489441,Main
Yahoo,2024-10-28,I want to Join all the people below that has no LIFE. WHY is this STOCK going down???????  I will back later to write this again.  I get stock information from YAHOO PEOPLE,Neutral,0,0.9996782541275024,Main
Yahoo,2024-10-25,13 days to earnings all 13 - 13 - 13,Neutral,0,0.9999911785125732,Main
Yahoo,2024-10-25,Adobe or Applovin? Which one better suitor?,Positive,1,0.6721780300140381,Main
Yahoo,2024-10-25,Loaded up,Neutral,0,0.9995517134666443,Main
Yahoo,2024-10-25,BUYING!! Great opportunity right here,Positive,1,0.9999966621398926,Main
Yahoo,2024-10-25,Go in heavy for the buyout?,Neutral,0,0.9995644688606262,Main
Yahoo,2024-10-25,Trash. Declining for the last 3 years. about to sell it for good,Neutral,0,0.8762766122817993,Main
Yahoo,2024-10-25,whys it dropping so much?  any news?,Negative,-1,0.7108981609344482,Main
Yahoo,2024-10-25,What&#39;s the deal,Neutral,0,0.9998819828033447,Main
