Date,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance
8/1/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/2/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/3/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/4/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/5/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/6/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/7/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/8/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/9/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/10/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/11/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/12/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/13/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/14/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/15/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/16/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/17/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/18/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/19/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/20/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/21/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/22/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/23/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/24/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/25/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/26/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/27/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/28/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/29/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/30/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
8/31/24,5.33,314.121,23386.248,4.2,103.0449,5478.214577
9/1/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/2/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/3/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/4/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/5/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/6/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/7/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/8/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/9/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/10/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/11/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/12/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/13/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/14/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/15/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/16/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/17/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/18/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/19/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/20/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/21/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/22/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/23/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/24/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/25/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/26/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/27/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/28/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/29/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
9/30/24,5.13,314.686,23386.248,4.1,102.5497,5621.260449
10/1/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/2/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/3/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/4/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/5/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/6/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/7/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/8/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/9/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/10/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/11/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/12/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/13/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/14/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/15/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/16/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/17/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/18/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/19/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/20/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/21/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/22/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/23/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/24/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/25/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/26/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/27/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/28/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/29/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/30/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
10/31/24,4.83,315.454,23386.248,4.1,102.2805,5792.319548
