DATE,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE
8/1/24,16.2,19.48,15.95,18.59
8/2/24,20.52,29.66,20.01,23.39
8/5/24,23.39,65.73,23.39,38.57
8/6/24,33.71,34.77,24.02,27.71
8/7/24,24.77,29.76,21.97,27.85
8/8/24,28.34,29.47,23.36,23.79
8/9/24,23.78,24.52,20.26,20.37
8/12/24,20.79,21.19,18.89,20.71
8/13/24,20.06,20.79,17.95,18.12
8/14/24,18.41,18.49,16.12,16.19
8/15/24,16.27,16.68,14.77,15.23
8/16/24,15.29,15.76,14.65,14.8
8/19/24,15.94,16.07,14.46,14.65
8/20/24,14.89,15.93,14.78,15.88
8/21/24,16.25,17.17,15.92,16.27
8/22/24,16.27,18.06,15.76,17.55
8/23/24,17.12,17.21,15.61,15.86
8/26/24,16.27,16.67,15.81,16.15
8/27/24,16.21,16.81,15.37,15.43
8/28/24,15.51,17.89,15.46,17.11
8/29/24,16.54,16.57,15.19,15.65
8/30/24,15.67,16.04,14.78,15
9/2/24,15.87,15.99,15.48,15.55
9/3/24,15.76,21.99,15.71,20.72
9/4/24,23.2,23.31,19.34,21.32
9/5/24,20.75,21.53,19.21,19.9
9/6/24,21.98,23.76,18.83,22.38
9/9/24,21.32,21.41,19.29,19.45
9/10/24,19.86,20.74,18.9,19.08
9/11/24,19.41,21.41,17.55,17.69
9/12/24,17.62,18.59,16.89,17.07
9/13/24,17.03,17.18,16.23,16.56
9/16/24,17.16,17.69,16.91,17.14
9/17/24,17.16,18.08,16.67,17.61
9/18/24,17.58,19.39,17.11,18.23
9/19/24,17.21,17.27,16.21,16.33
9/20/24,16.35,16.68,15.81,16.15
9/23/24,16.71,16.95,15.75,15.89
9/24/24,15.87,16.67,15.27,15.39
9/25/24,15.82,15.82,15.17,15.41
9/26/24,15.06,15.83,14.9,15.37
9/27/24,15.64,16.97,15.2,16.96
9/30/24,17.01,17.79,16.47,16.73
10/1/24,16.96,20.73,16.61,19.26
10/2/24,19.65,20.36,18.58,18.9
10/3/24,19.63,20.75,19.16,20.49
10/4/24,20.48,20.48,18.48,19.21
10/7/24,20.76,23.03,20.65,22.64
10/8/24,22.92,23.14,21.14,21.42
10/9/24,21.98,22.01,20.71,20.86
10/10/24,20.91,21.39,20.64,20.93
10/11/24,20.87,21.16,20.14,20.46
10/14/24,20.86,20.86,19.69,19.7
10/15/24,19.61,20.89,19.44,20.64
10/16/24,20.77,21.01,19.45,19.58
10/17/24,19.55,19.65,18.88,19.11
10/18/24,19.3,19.32,17.99,18.03
10/21/24,18.78,19.34,18.36,18.37
10/22/24,18.79,19.44,18.05,18.2
10/23/24,18.21,20.47,18.18,19.24
10/24/24,18.87,20.24,18.63,19.08
10/25/24,19.22,20.51,18.23,20.33
10/28/24,19.11,19.88,18.91,19.8
10/29/24,19.75,20.53,19.06,19.34
10/30/24,19.33,20.44,19.3,20.35
10/31/24,21.44,23.42,21.12,23.16
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
