Ticker,Comment_Count,Count,Total_Comments
PD,4,545,549
HEAR,3,13406,13409
AAPL,38755,0,38755
PANW,372,1882,2254
ARRY,781,43,824
TEL,10,571,581
ARQQ,174,14,188
ANET,77,39,116
UI,3,955,958
ZM,262,0,262
AGYS,3,1055,1058
FSLR,436,3861,4297
INOD,263,0,263
UBER,619,0,619
SNPS,47,613,660
ADI,10,1183,1193
FORM,5,8527,8532
PLTR,19233,2819,22052
SQ,464,499,963
RELL,5,215,220
AMKR,24,3807,3831
CSIQ,331,59,390
KD,89,56,145
BL,1,1206,1207
TXN,161,1651,1812
KLAC,131,70,201
INTC,19935,10729,30664
APP,189,0,189
BILL,53,6807,6860
RELY,12,9149,9161
CDNS,38,91,129
MU,6792,0,6792
APLD,1658,398,2056
FIS,5,203,208
TOST,142,8,150
DDOG,45,88,133
AMAT,548,280,828
PAYO,104,26,130
NTAP,53,1534,1587
FICO,20,324,344
TTD,184,168,352
ATOM,70,529,599
DMRC,338,0,338
ENPH,1112,168,1280
TWLO,120,17,137
BMI,4,1163,1167
BMBL,122,573,695
MSTR,7358,210,7568
OLED,87,70,157
CRWD,1519,3019,4538
SOUN,10228,177,10405
LYFT,542,821,1363
PATH,633,4106,4739
QCOM,1116,2150,3266
BAND,13,3751,3764
RUM,1058,0,1058
ESTC,67,1552,1619
DOCU,50,159,209
U,591,0,591
SEDG,1544,0,1544
MSFT,3500,0,3500
HPE,205,846,1051
COHR,103,27,130
MEI,10,193,203
ONTO,8,3404,3412
ACN,38,2455,2493
WK,1,858,859
HPQ,24,1529,1553
S,305,0,305
GEN,3,3495,3498
ORCL,562,3392,3954
OUST,1287,731,2018
DELL,1030,4333,5363
ALAB,305,0,305
ODD,16,6532,6548
IBM,870,1622,2492
ADP,12,4957,4969
AMD,11761,12912,24673
WOLF,2196,169,2365
LRCX,578,144,722
PI,37,122,159
SMCI,14930,3114,18044
PAGS,99,161,260
STNE,140,18,158
NXT,215,183,398
ZS,375,36,411
WDAY,76,57,133
HUBS,28,937,965
BTDR,55,113,168
NOW,147,0,147
AI,1610,0,1610
AFRM,1425,0,1425
NTNX,220,0,220
CORZ,896,294,1190
KN,1,265,266
INTU,54,2592,2646
WDC,133,5,138
TASK,1,3517,3518
ACMR,676,15,691
APH,10,277,287
OKTA,200,121,321
NEON,81,158,239
DOX,1,267,268
AEHR,436,215,651
CSCO,355,2813,3168
NVMI,5,141,146
CRSR,2530,185,2715
SMTC,27,1565,1592
KEYS,16,8142,8158
AVGO,2582,4907,7489
OS,8,2531,2539
RAMP,8,3290,3298
NCNO,8,1526,1534
INSG,370,0,370
KOSS,130,0,130
AAOI,799,0,799
SNOW,1809,779,2588
ADSK,18,1595,1613
PSFE,334,0,334
RUN,551,6963,7514
UIS,17,955,972
ASTS,9765,0,9765
ON,300,0,300
KPLT,416,0,416
ADBE,571,2049,2620
FLEX,11,536,547
CAMT,61,129,190
QXO,153,19,172
AIP,1,387,388
VSAT,125,35,160
BASE,2,4161,4163
MAXN,1378,0,1378
NVDA ,106959,0,106959
PGY,280,0,280
TDY,1,149,150
PAR,5,1564,1569
MRVL,383,1526,1909
PLUS,1,7886,7887
GCT,513,202,715
BKSY,239,0,239
FOUR,33,7283,7316
NVDA,0,7069,7069
