Ticker,Company Name,Industry,Sector,X-Spot-Id,X-Post-Id,Conversation Id
NVDA,NVIDIA Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$32307,sp_Rba9aFpG_finmb$32307
AVGO,Broadcom Inc.,Semiconductors,Technology,sp_Rba9aFpG,finmb$25016048,sp_Rba9aFpG_finmb$25016048
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$168864,sp_Rba9aFpG_finmb$168864
TXN,Texas Instruments Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$140283,sp_Rba9aFpG_finmb$140283
QCOM,QUALCOMM Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$33493,sp_Rba9aFpG_finmb$33493
MU,"Micron Technology, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$289030,sp_Rba9aFpG_finmb$289030
INTC,Intel Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$21127,sp_Rba9aFpG_finmb$21127
ADI,"Analog Devices, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$251411,sp_Rba9aFpG_finmb$251411
MRVL,"Marvell Technology, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$31158,sp_Rba9aFpG_finmb$31158
NXPI,NXP Semiconductors N.V.,Semiconductors,Technology,sp_Rba9aFpG,finmb$934467,sp_Rba9aFpG_finmb$934467
MCHP,Microchip Technology Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$31500,sp_Rba9aFpG_finmb$31500
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$3051626,sp_Rba9aFpG_finmb$3051626
ON,ON Semiconductor Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$411950,sp_Rba9aFpG_finmb$411950
ASYS,"Amtech Systems, Inc.",Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$250738,sp_Rba9aFpG_finmb$250738
GFS,GLOBALFOUNDRIES Inc.,Semiconductors,Technology,sp_Rba9aFpG,finmb$237245858,sp_Rba9aFpG_finmb$237245858
ALAB,"Astera Labs, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$558258765,sp_Rba9aFpG_finmb$558258765
SWKS,"Skyworks Solutions, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$1462309,sp_Rba9aFpG_finmb$1462309
MTSI,"MACOM Technology Solutions Holdings, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$138672527,sp_Rba9aFpG_finmb$138672527
LSCC,Lattice Semiconductor Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$284137,sp_Rba9aFpG_finmb$284137
CRDO,Credo Technology Group Holding Ltd,Semiconductors,Technology,sp_Rba9aFpG,finmb$662522214,sp_Rba9aFpG_finmb$662522214
QRVO,"Qorvo, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$33821,sp_Rba9aFpG_finmb$33821
RMBS,Rambus Inc.,Semiconductors,Technology,sp_Rba9aFpG,finmb$33604,sp_Rba9aFpG_finmb$33604
CRUS,"Cirrus Logic, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$26515,sp_Rba9aFpG_finmb$26515
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$4245259,sp_Rba9aFpG_finmb$4245259
POWI,"Power Integrations, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$33163,sp_Rba9aFpG_finmb$33163
SMTC,Semtech Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$302594,sp_Rba9aFpG_finmb$302594
SYNA,Synaptics Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$35013,sp_Rba9aFpG_finmb$35013
DIOD,Diodes Incorporated,Semiconductors,Technology,sp_Rba9aFpG,finmb$266907,sp_Rba9aFpG_finmb$266907
VSH,"Vishay Intertechnology, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$312427,sp_Rba9aFpG_finmb$312427
MXL,"MaxLinear, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$23374622,sp_Rba9aFpG_finmb$23374622
WOLF,"Wolfspeed, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$197012,sp_Rba9aFpG_finmb$197012
AOSL,Alpha and Omega Semiconductor Limited,Semiconductors,Technology,sp_Rba9aFpG,finmb$7939542,sp_Rba9aFpG_finmb$7939542
LASR,"nLIGHT, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$428918,sp_Rba9aFpG_finmb$428918
SKYT,"SkyWater Technology, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$708778565,sp_Rba9aFpG_finmb$708778565
NVEC,NVE Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$32205,sp_Rba9aFpG_finmb$32205
AIP,"Arteris, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$4639940,sp_Rba9aFpG_finmb$4639940
MRAM,"Everspin Technologies, Inc.",Semiconductors,Technology,sp_Rba9aFpG,finmb$45761252,sp_Rba9aFpG_finmb$45761252
QUIK,QuickLogic Corporation,Semiconductors,Technology,sp_Rba9aFpG,finmb$33535,sp_Rba9aFpG_finmb$33535
MSFT,Microsoft Corporation,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$21835,sp_Rba9aFpG_finmb$21835
ORCL,Oracle Corporation,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$22247,sp_Rba9aFpG_finmb$22247
ADBE,Adobe Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$24321,sp_Rba9aFpG_finmb$24321
PLTR,Palantir Technologies Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$43580005,sp_Rba9aFpG_finmb$43580005
PANW,"Palo Alto Networks, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$25460099,sp_Rba9aFpG_finmb$25460099
CRWD,"CrowdStrike Holdings, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$420347413,sp_Rba9aFpG_finmb$420347413
SNPS,"Synopsys, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$35028,sp_Rba9aFpG_finmb$35028
FTNT,"Fortinet, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$2689126,sp_Rba9aFpG_finmb$2689126
SQ,"Block, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$83920810,sp_Rba9aFpG_finmb$83920810
NET,"Cloudflare, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$81851700,sp_Rba9aFpG_finmb$81851700
ZS,"Zscaler, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$58838228,sp_Rba9aFpG_finmb$58838228
IOT,Samsara Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$301743802,sp_Rba9aFpG_finmb$301743802
GDDY,GoDaddy Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$265777695,sp_Rba9aFpG_finmb$265777695
TOST,"Toast, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$308700964,sp_Rba9aFpG_finmb$308700964
MDB,"MongoDB, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$46952162,sp_Rba9aFpG_finmb$46952162
