Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,"We should break the downtrend from may 2023, additionally the 50 dma crosses the 200 dma. We have low volune what is a good sign. Big volume would sign that we have a top. Good days ahead. After 50 years of trading experience, not more than  5 % in 1 stock, and nobody knows the future.",Positive,1,0.5631615519523621,Main
Yahoo,2024-10-30,C3 partner MSFT up in after hours after reporting strong quarterly results.  The company said that artificial intelligence demand boosted its cloud business.  Another data point indicating we will be getting a good report from C3 in about a month.,Positive,1,1.0,Main
Yahoo,2024-10-30,"Huge Peter, there are people who bought at 20 and Sold at 27.5. I think the 25 is the bottom. Maybe they had options who were a ten Bagger. Any questions ?",Neutral,0,0.9991289973258972,Main
Yahoo,2024-10-30,Down $1.30 from todays high,Negative,-1,0.9992926120758057,Main
Yahoo,2024-10-30,This stock is complete garbage.  We lost so much share price over the last 3 months.  It goes up a bit snd people think it is a huge run.  The stock list $1 from today high!!!,Positive,1,0.6769066452980042,Main
Yahoo,2024-10-30,speaking of 5 days ago... up about 8% since then. OK with me.,Neutral,0,0.9996799230575562,Main
Yahoo,2024-10-30,Down $0.95 from today high,Negative,-1,0.9997968077659607,Main
Yahoo,2024-10-30,Junk and garbage,Neutral,0,0.9959843158721924,Main
Yahoo,2024-10-30,"I posted 5 days ago, technically we dont Look so bad. 25 can be the next bottom. Additionally we are over 200 dma. Its buying time.",Neutral,0,0.9858555197715759,Main
Yahoo,2024-10-30,Told ya.  Fake run.  Short entry point.  Down nearly $1 from today high,Negative,-1,0.9996448755264282,Main
Yahoo,2024-10-30,"If it breaks 27-28, should go to low 30&#39;s! And, If Yankees win tonight, the Series will- go back to LA.  -Duh._ Don&#39;t go too far out on that limb- Law-Man.    Hey- What Me Worry?  Indy has already guaranteed -$77 by Christmas.  My Mobile Palace is getting a new skirt.",Neutral,0,0.9998549222946167,Main
Yahoo,2024-10-30,Shorts continue to exit their positions.  Some on here will try to scare you by pointing to sunmicro.  C3 already proved their accounting firm and methods when shorts hit hard trying to take it out.  PLTR reports next week which will show increase in sales (although PLTR is heavily over valued) but should be a big boost for C3 as they are in the same boat.  C3 should continue to rise and if it can break that 27-28 point—should be in low 30s before next earnings and earnings report should finally take it higher.,Positive,1,0.9999998807907104,Main
Yahoo,2024-10-30,Told ya.  Red,Neutral,0,0.9940425753593445,Main
Yahoo,2024-10-30,"There is a financial services firm headquartered in Philly with the initials JMS (if I post anything more than the initials YMB will delete the post).  They did not own any C3 shares on June 30, then in Q3 they came in as a new investor with a buy of 32,000 shares.  JMS has more than 100 offices across America and their financial advisors can recommend C3 to their clients.",Neutral,0,0.9999953508377075,Main
Yahoo,2024-10-30,Looks like it was another entry point for shorts.  Will end red today.,Neutral,0,0.9999321699142456,Main
Yahoo,2024-10-30,"Q3 GDP data is out.  Defense spending increased at around a 15% annualized rate in Q3, the most since we were at war in Iraq in 2003.  Part of the spending increase is due to wars in Ukraine and Israel, but Q3 is also when the DoD does most of its contracting for new programs, or ramps up spending on existing programs.  C3 will be reporting its Aug-Sept-Oct quarter in about a month.  The quarter is likely to include some big increases in C3&#39;s defense business.",Neutral,0,0.8241083025932312,Main
Yahoo,2024-10-30,Junk.  Lost more than it gained,Negative,-1,0.6103649735450745,Main
Yahoo,2024-10-30,add more,Positive,1,0.9298269748687744,Main
Yahoo,2024-10-30,Then again if companies are re-engineering c3.ai product and stealing IP they must have something worthwhile to offer,Neutral,0,0.7858884334564209,Main
Yahoo,2024-10-30,SuperMicro accounting fraud….. a prelude to TommyBoy’s and C3’s imminent demise.  Thank you E&amp;Y for calling out yet another fraud pumped by the ShaggyIndyNashByron clowns!!,Neutral,0,0.93992018699646,Main
Yahoo,2024-10-30,Red.  Really!,Neutral,0,0.7012314796447754,Main
Yahoo,2024-10-30,"On the conference call yesterday executives at C3 partner GOOG said that their spending on artificial intelligence is &#34;paying off and driving success&#34;.  The CFO said that their spending on artificial intelligence will generate sales growth &#34;in the fairly short term&#34; and that the spending is being driven by &#34;demand we’re seeing from customers.&#34;  C3 gets most of its sales through its partnerships with GCP, AWS, and MSFT.  C3 should start to see increased sales through these partnerships.",Positive,1,0.9999943971633911,Main
Yahoo,2024-10-30,A patent is a license to steak.  If c3.ai technology can be reversed engineered the company is igoing out of business,Neutral,0,0.9998773336410522,Main
Yahoo,2024-10-30,over 17 tomorrow,Neutral,0,0.8820744156837463,Main
Yahoo,2024-10-29,"Most large investors will be filing their 13Fs in about 2 weeks.  Early filings are coming in from smaller firms.  Creative Planning in Kansas bought 3,700 C3 shares in Q3.  Focus Financial in Minnesota bought 11,600 C3 shares.  PFG in New York bought 4,400 shares.  KG&amp;L in Louisiana bought 5,500 shares.  Pathway in Indiana bought 8,500 shares.  2023-24 belonged to artificial intelligence hardware.  2025 will be the year that artificial intelligence software takes off.  Investment professionals are buying now to get ready.",Neutral,0,0.9999871253967285,Main
